Name,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
Maidstone District (B),E07000110,3803,5746,5793,3813,5784,5831,3862,5831,5831,4.1%,6.2%,6.3%,4.1%,6.2%,6.3%,4.2%,6.3%,6.3%
Maldon District (B),E07000074,1662,5482,5970,1777,6186,6999,1775,6186,6999,4.1%,13.4%,14.6%,4.3%,15.1%,17.1%,4.3%,15.1%,17.1%
Malvern Hills District,E07000235,1288,2157,2177,1288,2158,2178,1292,2184,2207,2.3%,3.9%,3.9%,2.3%,3.9%,3.9%,2.3%,3.9%,4.0%
Manchester District (B),E08000003,2518,10605,10858,4665,11486,11747,4911,12177,12394,1.0%,4.1%,4.2%,1.8%,4.5%,4.6%,1.9%,4.7%,4.8%
Mansfield District,E07000174,382,585,585,382,585,585,383,585,585,0.7%,1.0%,1.0%,0.7%,1.0%,1.0%,0.7%,1.0%,1.0%
Medway (B),E06000035,2746,6850,8491,2765,7541,9200,4326,9108,9200,2.1%,5.2%,6.5%,2.1%,5.7%,7.0%,3.3%,6.9%,7.0%
Melton District (B),E07000133,1021,1914,2326,1021,1914,2326,1020,1913,2326,3.0%,5.6%,6.9%,3.0%,5.6%,6.9%,3.0%,5.6%,6.9%
Mendip District,E07000187,2948,3358,3359,2872,3498,3499,3508,4240,4241,3.7%,4.2%,4.2%,3.6%,4.4%,4.4%,4.4%,5.3%,5.3%
Merton London Boro,E09000024,3296,7648,7648,3281,7351,7351,3268,7351,7351,3.5%,8.1%,8.1%,3.5%,7.8%,7.8%,3.5%,7.8%,7.8%
Mid Devon District,E07000042,4140,5210,5246,4137,5207,5243,4143,5231,5267,6.3%,7.9%,8.0%,6.3%,7.9%,8.0%,6.3%,8.0%,8.0%
Mid Suffolk District,E07000203,1538,1906,1911,1536,1907,1912,1555,1928,1933,2.1%,2.6%,2.6%,2.1%,2.6%,2.6%,2.1%,2.6%,2.6%
Mid Sussex District,E07000228,419,551,567,419,551,567,422,554,570,0.5%,0.7%,0.7%,0.5%,0.7%,0.7%,0.5%,0.7%,0.7%
Middlesbrough (B),E06000002,818,1673,1673,818,1673,1673,817,1673,1673,1.1%,2.3%,2.3%,1.1%,2.3%,2.3%,1.1%,2.3%,2.3%
Milton Keynes (B),E06000042,746,1737,1990,746,1737,1990,746,1738,1990,0.6%,1.3%,1.5%,0.6%,1.3%,1.5%,0.6%,1.3%,1.5%
Mole Valley District,E07000210,1443,1953,1953,1532,2272,2272,1525,2272,2272,2.8%,3.8%,3.8%,3.0%,4.4%,4.4%,3.0%,4.4%,4.4%
New Forest District,E07000091,5073,6636,6837,4294,5728,5916,4310,5743,5931,4.5%,5.9%,6.0%,3.8%,5.1%,5.2%,3.8%,5.1%,5.2%
Newark and Sherwood District,E07000175,4405,9139,9250,4426,9338,9449,4475,9337,9449,5.9%,12.2%,12.3%,5.9%,12.5%,12.6%,6.0%,12.5%,12.6%
Newcastle upon Tyne District (B),E08000021,466,806,807,467,824,824,470,883,883,0.3%,0.6%,0.6%,0.3%,0.6%,0.6%,0.3%,0.6%,0.6%
Newcastle-under-Lyme District (B),E07000195,427,518,518,634,788,788,634,788,788,0.6%,0.8%,0.8%,0.9%,1.2%,1.2%,0.9%,1.2%,1.2%
Newham London Boro,E09000025,1445,22392,48395,1444,23687,47412,1443,23687,47406,1.1%,17.4%,37.6%,1.1%,18.4%,36.8%,1.1%,18.4%,36.8%
North Devon District,E07000043,4417,7496,7901,4441,7337,7642,4443,7337,7642,5.6%,9.6%,10.1%,5.7%,9.4%,9.7%,5.7%,9.4%,9.7%
North East Derbyshire District,E07000038,762,836,836,762,836,836,762,836,836,1.3%,1.4%,1.4%,1.3%,1.4%,1.4%,1.3%,1.4%,1.4%
North East Lincolnshire (B),E06000012,6113,16229,40694,6131,16247,40712,6135,16245,40713,6.8%,18.2%,45.6%,6.9%,18.2%,45.6%,6.9%,18.2%,45.6%
North Hertfordshire District,E07000099,566,626,632,574,638,638,576,638,638,0.8%,0.9%,0.9%,0.8%,0.9%,0.9%,0.8%,0.9%,0.9%
North Kesteven District,E07000139,3337,5656,5669,3558,6330,6343,3582,6393,6407,4.7%,7.9%,7.9%,5.0%,8.9%,8.9%,5.0%,9.0%,9.0%
North Lincolnshire (B),E06000013,14432,16292,16810,14450,16310,16828,14453,16311,16828,13.9%,15.7%,16.2%,14.0%,15.8%,16.3%,14.0%,15.8%,16.3%
North Norfolk District,E07000147,1424,4402,4454,1560,4799,4867,1594,4902,4997,1.7%,5.3%,5.3%,1.9%,5.7%,5.8%,1.9%,5.9%,6.0%
North Somerset,E06000024,1748,48591,50556,1745,48544,50511,1814,48632,50606,1.4%,38.3%,39.8%,1.4%,38.2%,39.8%,1.4%,38.3%,39.9%
North Tyneside District (B),E08000022,192,423,462,194,448,972,470,1079,1079,0.2%,0.4%,0.4%,0.2%,0.4%,0.9%,0.4%,1.0%,1.0%
North Warwickshire District (B),E07000218,1354,1700,1700,1354,1700,1700,1353,1700,1700,3.5%,4.4%,4.4%,3.5%,4.4%,4.4%,3.5%,4.4%,4.4%
North West Leicestershire District,E07000134,2140,2244,2244,2483,2594,2594,2482,2594,2594,3.7%,3.8%,3.8%,4.2%,4.4%,4.4%,4.2%,4.4%,4.4%
Northampton District (B),E07000154,796,3105,4892,800,3146,4978,825,3275,5129,0.7%,2.7%,4.2%,0.7%,2.7%,4.3%,0.7%,2.8%,4.4%
Northumberland,E06000057,3552,6773,8096,3610,7335,8098,4056,7492,8172,1.7%,3.2%,3.8%,1.7%,3.5%,3.8%,1.9%,3.5%,3.9%
Norwich District (B),E07000148,95,390,2784,95,391,2784,159,1199,5028,0.1%,0.5%,3.3%,0.1%,0.5%,3.3%,0.2%,1.4%,5.9%
Nuneaton and Bedworth District (B),E07000219,1742,2468,2468,1742,2468,2468,1744,2468,2468,2.8%,3.9%,3.9%,2.8%,3.9%,3.9%,2.8%,3.9%,3.9%
Oadby and Wigston District (B),E07000135,283,283,283,284,284,284,284,284,284,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%,1.1%
Oldham District (B),E08000004,1265,1819,1845,1259,1811,1837,1258,1811,1837,1.1%,1.6%,1.6%,1.1%,1.6%,1.6%,1.1%,1.6%,1.6%
Oxford District (B),E07000178,3521,4992,4996,3526,4996,4996,3537,5007,5007,4.3%,6.1%,6.1%,4.3%,6.1%,6.1%,4.3%,6.1%,6.1%
Pendle District (B),E07000122,1258,2542,2552,1360,2640,2650,1358,2640,2650,2.6%,5.2%,5.2%,2.8%,5.4%,5.4%,2.8%,5.4%,5.4%
Preston District (B),E07000123,1645,4052,4091,1502,3279,3577,1504,3279,3577,2.2%,5.4%,5.4%,2.0%,4.4%,4.8%,2.0%,4.4%,4.8%
Reading (B),E06000038,3763,5829,5983,4921,8370,8524,4969,8370,8524,4.9%,7.5%,7.7%,6.4%,10.8%,11.0%,6.4%,10.8%,11.0%
Redbridge London Boro,E09000026,2098,4229,4531,1900,5111,5705,3989,5668,5705,1.7%,3.5%,3.8%,1.6%,4.2%,4.7%,3.3%,4.7%,4.7%
Redcar and Cleveland (B),E06000003,504,908,908,525,930,930,546,930,930,0.7%,1.2%,1.2%,0.7%,1.2%,1.2%,0.7%,1.2%,1.2%
Redditch District (B),E07000236,628,1225,1225,628,1225,1225,627,1226,1226,1.3%,2.5%,2.5%,1.3%,2.5%,2.5%,1.3%,2.5%,2.5%
Reigate and Banstead District (B),E07000211,1467,3167,3167,1493,3203,3203,1481,3203,3203,2.1%,4.5%,4.5%,2.1%,4.5%,4.5%,2.1%,4.5%,4.5%
Ribble Valley District (B),E07000124,1734,2225,2233,1554,2051,2062,1753,2372,2390,4.4%,5.6%,5.6%,3.9%,5.2%,5.2%,4.4%,6.0%,6.0%
Richmond upon Thames London Boro,E09000027,2050,5191,19776,2058,6070,20655,2057,6069,20655,2.1%,5.4%,20.7%,2.2%,6.4%,21.6%,2.2%,6.4%,21.6%
Richmondshire District,E07000166,2548,3022,3056,2566,3044,3078,2692,3046,3078,6.0%,7.1%,7.2%,6.1%,7.2%,7.3%,6.4%,7.2%,7.3%
Rochdale District (B),E08000005,1466,2123,2244,1622,2242,2440,1737,2321,2440,1.4%,2.0%,2.1%,1.5%,2.1%,2.3%,1.6%,2.1%,2.3%
Rochford District,E07000075,556,2262,2498,581,2743,3128,597,2847,3234,1.3%,5.2%,5.7%,1.3%,6.3%,7.2%,1.4%,6.5%,7.4%
Rossendale District (B),E07000125,1840,2842,2852,1787,2696,2709,1781,2696,2709,4.7%,7.3%,7.3%,4.6%,6.9%,7.0%,4.6%,6.9%,7.0%
Rother District,E07000064,1251,2589,6020,1251,2589,6027,1250,2596,6025,1.9%,3.9%,9.0%,1.9%,3.9%,9.0%,1.9%,3.9%,9.0%
Rotherham District (B),E08000018,1411,2616,2617,1411,2620,2621,1412,2621,2622,1.0%,1.9%,1.9%,1.0%,1.9%,1.9%,1.0%,1.9%,1.9%
Rugby District (B),E07000220,867,1545,1545,868,1546,1546,869,1546,1546,1.5%,2.6%,2.6%,1.5%,2.6%,2.6%,1.5%,2.6%,2.6%
Runnymede District (B),E07000212,10096,13711,13820,10454,14512,15148,10472,14528,15164,22.1%,30.0%,30.3%,22.9%,31.8%,33.2%,22.9%,31.8%,33.2%
Rushcliffe District (B),E07000176,1474,12538,12911,1474,12538,12911,1474,12538,12911,2.2%,18.9%,19.5%,2.2%,18.9%,19.5%,2.2%,18.9%,19.5%
Rushmoor District (B),E07000092,536,2578,2578,544,2866,2866,542,2866,2866,1.2%,5.8%,5.8%,1.2%,6.4%,6.4%,1.2%,6.4%,6.4%
Rutland,E06000017,156,172,172,156,172,172,171,190,190,0.6%,0.7%,0.7%,0.6%,0.7%,0.7%,0.7%,0.7%,0.7%
Ryedale District,E07000167,3344,4102,4305,3547,4412,4616,3546,4412,4616,6.2%,7.6%,8.0%,6.6%,8.2%,8.6%,6.6%,8.2%,8.6%
Salford District (B),E08000006,1853,19210,19364,1852,19617,19815,2174,19799,19815,1.4%,14.8%,14.9%,1.4%,15.1%,15.3%,1.7%,15.2%,15.3%
Sandwell District (B),E08000028,1811,2694,2694,2364,3310,3310,2366,3309,3308,1.2%,1.8%,1.8%,1.6%,2.2%,2.2%,1.6%,2.2%,2.2%
Scarborough District (B),E07000168,1382,2120,2120,1380,2120,2120,1392,2141,2156,1.6%,2.5%,2.5%,1.6%,2.5%,2.5%,1.6%,2.5%,2.5%
Sedgemoor District,E07000188,3360,37646,38847,5661,37543,38760,7821,40170,40171,4.1%,45.5%,47.0%,6.8%,45.4%,46.9%,9.5%,48.6%,48.6%
Sefton District (B),E08000014,325,3820,7641,247,3740,7562,247,3738,7562,0.2%,2.5%,5.0%,0.2%,2.4%,4.9%,0.2%,2.4%,4.9%
Selby District,E07000169,3072,13080,17630,3193,15449,20479,3714,16950,21986,5.2%,22.0%,29.7%,5.4%,26.0%,34.5%,6.3%,28.5%,37.0%
Sevenoaks District,E07000111,1474,2354,2421,1609,2663,2730,1609,2663,2730,2.2%,3.5%,3.6%,2.4%,3.9%,4.0%,2.4%,3.9%,4.0%
Sheffield District (B),E08000019,7677,12388,12388,7679,12388,12388,7696,12438,12438,2.7%,4.3%,4.3%,2.7%,4.3%,4.3%,2.7%,4.4%,4.4%
Folkestone and Hythe District,E07000112,4069,5333,13662,4082,5378,13707,4078,5374,13707,6.2%,8.1%,20.7%,6.2%,8.2%,20.8%,6.2%,8.2%,20.8%
Shropshire,E06000051,6152,7095,7209,6154,7098,7212,6242,7204,7318,2.7%,3.1%,3.1%,2.7%,3.1%,3.1%,2.7%,3.1%,3.2%
Slough (B),E06000039,3474,5045,6790,3474,5046,6791,3473,5044,6790,5.9%,8.5%,11.4%,5.9%,8.5%,11.5%,5.9%,8.5%,11.4%
Solihull District (B),E08000029,863,942,942,1477,1690,1690,1479,1692,1692,0.8%,0.9%,0.9%,1.4%,1.6%,1.6%,1.4%,1.6%,1.6%
Somerset West and Taunton District,E07000246,6463,8889,10181,6579,8973,10343,6938,9434,10840,6.0%,8.3%,9.5%,6.1%,8.3%,9.6%,6.4%,8.8%,10.1%
South Bucks District,E07000006,714,1506,1690,716,1629,1813,822,1726,1910,1.9%,3.9%,4.4%,1.9%,4.2%,4.7%,2.1%,4.5%,5.0%
South Cambridgeshire District,E07000012,3530,4283,4736,3531,4286,4739,3751,4522,4975,3.7%,4.4%,4.9%,3.7%,4.5%,4.9%,3.9%,4.7%,5.2%
South Derbyshire District,E07000039,2043,5654,5951,2043,5653,5951,2044,5656,5952,3.7%,10.2%,10.7%,3.7%,10.2%,10.7%,3.7%,10.2%,10.7%
South Gloucestershire,E06000025,1296,4711,6313,1483,4797,6205,1614,5044,6544,0.9%,3.2%,4.2%,1.0%,3.2%,4.2%,1.1%,3.4%,4.4%
South Hams District,E07000044,3652,4935,4940,3249,4330,4335,3664,4918,4924,5.1%,6.8%,6.8%,4.5%,6.0%,6.0%,5.1%,6.8%,6.8%
South Holland District,E07000140,19982,41609,48191,20090,42016,48643,20023,41524,48629,33.9%,70.6%,81.7%,34.1%,71.2%,82.5%,34.0%,70.4%,82.5%
South Kesteven District,E07000141,1644,3592,3801,1687,3636,3845,1991,4116,4368,1.9%,4.1%,4.3%,1.9%,4.1%,4.4%,2.3%,4.7%,5.0%
South Lakeland District,E07000031,7473,10901,11319,7659,11157,11579,7691,11459,11891,8.1%,11.8%,12.2%,8.3%,12.1%,12.5%,8.3%,12.4%,12.9%
South Norfolk District,E07000149,1458,2468,2487,1457,2468,2487,1504,2518,2608,1.6%,2.8%,2.8%,1.6%,2.8%,2.8%,1.7%,2.8%,2.9%
South Northamptonshire District,E07000155,595,850,990,600,858,998,656,922,1131,1.1%,1.5%,1.8%,1.1%,1.5%,1.8%,1.2%,1.6%,2.0%
South Oxfordshire District,E07000179,3756,4507,4507,3800,4581,4581,3799,4583,4583,4.5%,5.5%,5.5%,4.6%,5.5%,5.5%,4.6%,5.5%,5.5%
South Ribble District (B),E07000126,2182,3711,3890,1660,3268,3450,1707,3461,3644,3.7%,6.2%,6.5%,2.8%,5.5%,5.8%,2.9%,5.8%,6.1%
South Somerset District,E07000189,2601,3609,3712,2300,3143,3192,2656,3738,3856,2.2%,3.1%,3.2%,2.0%,2.7%,2.7%,2.3%,3.2%,3.3%
South Staffordshire District,E07000196,1164,1537,1542,1165,1537,1542,1166,1537,1542,1.9%,2.5%,2.5%,1.9%,2.5%,2.5%,1.9%,2.5%,2.5%
South Tyneside District (B),E08000023,82,192,192,82,186,186,101,207,207,0.1%,0.2%,0.2%,0.1%,0.2%,0.2%,0.1%,0.3%,0.3%
Southend-on-Sea (B),E06000033,858,4142,4142,874,5064,5064,971,5309,5358,0.9%,4.5%,4.5%,0.9%,5.5%,5.5%,1.1%,5.7%,5.8%
Southwark London Boro,E09000028,23,23,94949,23,23,94949,23,23,94949,0.0%,0.0%,61.7%,0.0%,0.0%,61.7%,0.0%,0.0%,61.7%
Spelthorne District (B),E07000213,6257,13404,13856,6989,18081,18545,6997,18084,18545,13.0%,27.8%,28.7%,14.5%,37.5%,38.5%,14.5%,37.5%,38.5%
St. Albans District (B),E07000240,680,884,941,1230,1344,1400,1384,1482,1482,0.9%,1.2%,1.3%,1.7%,1.8%,1.9%,1.9%,2.0%,2.0%
St. Helens District (B),E08000013,503,808,832,514,808,832,513,808,832,0.5%,0.9%,0.9%,0.5%,0.9%,0.9%,0.5%,0.9%,0.9%
Stafford District (B),E07000197,2203,2683,2683,2215,2697,2697,2217,2697,2697,2.7%,3.3%,3.3%,2.7%,3.3%,3.3%,2.7%,3.3%,3.3%
Staffordshire Moorlands District,E07000198,1110,1229,1229,1146,1282,1282,1146,1282,1282,1.7%,1.8%,1.8%,1.7%,1.9%,1.9%,1.7%,1.9%,1.9%
Stevenage District (B),E07000243,225,458,597,199,337,348,252,348,348,0.5%,0.9%,1.2%,0.4%,0.7%,0.7%,0.5%,0.7%,0.7%
Stockport District (B),E08000007,1711,2946,3098,1864,2604,2725,1869,2605,2726,1.2%,2.0%,2.1%,1.3%,1.8%,1.9%,1.3%,1.8%,1.9%
Stockton-on-Tees (B),E06000004,1539,2668,2777,1578,2700,2809,1603,2727,2812,1.5%,2.6%,2.7%,1.6%,2.7%,2.8%,1.6%,2.7%,2.8%
Stratford-on-Avon District,E07000221,4294,5672,5741,4419,5871,5940,4425,5885,5954,4.8%,6.4%,6.5%,5.0%,6.6%,6.7%,5.0%,6.6%,6.7%
Stroud District,E07000082,2207,3465,4426,2322,3588,4552,2517,4082,5046,3.0%,4.7%,6.0%,3.1%,4.8%,6.1%,3.4%,5.5%,6.8%
Sunderland District (B),E08000024,474,843,843,506,861,861,506,861,861,0.3%,0.6%,0.6%,0.4%,0.6%,0.6%,0.4%,0.6%,0.6%
Surrey Heath District (B),E07000214,1203,1874,1874,1208,1922,1922,1208,1922,1922,2.7%,4.1%,4.1%,2.7%,4.2%,4.2%,2.7%,4.2%,4.2%
Sutton London Boro,E09000029,1869,3092,3092,1864,3080,3080,1865,3080,3080,2.0%,3.4%,3.4%,2.0%,3.3%,3.3%,2.0%,3.3%,3.3%
Swale District (B),E07000113,2109,14474,17141,2119,14720,17657,4173,16798,17652,2.6%,17.9%,21.3%,2.6%,18.3%,21.9%,5.2%,20.8%,21.9%
Swindon (B),E06000030,1676,2526,2589,1676,2526,2589,1674,2526,2589,1.5%,2.2%,2.3%,1.5%,2.2%,2.3%,1.5%,2.2%,2.3%
Tameside District (B),E08000008,1223,1629,1629,1251,1653,1657,1272,1678,1656,1.0%,1.3%,1.3%,1.0%,1.3%,1.3%,1.0%,1.3%,1.3%
Tamworth District (B),E07000199,512,3482,3807,512,3482,3807,513,3481,3807,1.4%,9.7%,10.6%,1.4%,9.7%,10.6%,1.4%,9.7%,10.6%
Tandridge District,E07000215,1366,2090,2090,1366,2090,2090,1365,2090,2090,2.7%,4.2%,4.2%,2.7%,4.2%,4.2%,2.7%,4.2%,4.2%
Teignbridge District,E07000045,6921,9576,9984,6808,9433,9841,7079,9709,10119,7.8%,10.9%,11.3%,7.7%,10.7%,11.2%,8.0%,11.0%,11.5%
Telford and Wrekin (B),E06000020,1086,1170,1170,1087,1171,1171,1136,1221,1221,1.2%,1.3%,1.3%,1.2%,1.3%,1.3%,1.3%,1.4%,1.4%
Tendring District,E07000076,1021,9036,9503,1036,9385,9999,1043,9247,9640,1.1%,10.0%,10.5%,1.1%,10.4%,11.1%,1.2%,10.2%,10.7%
Test Valley District,E07000093,2291,2878,2889,2384,2973,2984,2562,3244,3259,3.1%,3.9%,3.9%,3.3%,4.1%,4.1%,3.5%,4.4%,4.5%
Tewkesbury District (B),E07000083,3104,5542,5563,3107,5558,5579,3106,5579,5600,5.0%,9.0%,9.0%,5.0%,9.0%,9.1%,5.0%,9.1%,9.1%
Thanet District,E07000114,186,547,547,190,725,725,190,725,725,0.2%,0.7%,0.7%,0.2%,0.9%,0.9%,0.2%,0.9%,0.9%
The City of Brighton and Hove (B),E06000043,1332,1443,1443,1331,1443,1443,1318,1404,1404,0.8%,0.9%,0.9%,0.8%,0.9%,0.9%,0.8%,0.9%,0.9%
Three Rivers District,E07000102,506,1054,1140,548,1093,1195,545,1092,1195,1.1%,2.3%,2.5%,1.2%,2.4%,2.7%,1.2%,2.4%,2.7%
Thurrock (B),E06000034,382,8020,18342,387,8083,18439,387,8085,18439,0.5%,9.8%,22.4%,0.5%,9.9%,22.5%,0.5%,9.9%,22.5%
Tonbridge and Malling District (B),E07000115,4567,7710,7767,4619,7902,7972,4612,7890,7959,6.8%,11.5%,11.6%,6.9%,11.8%,11.9%,6.9%,11.8%,11.9%
Torbay (B),E06000027,2812,3320,3672,2795,3296,3648,2796,3300,3648,3.4%,4.1%,4.5%,3.4%,4.0%,4.5%,3.4%,4.0%,4.5%
Torridge District,E07000046,1242,1825,2025,1212,1818,1986,1212,1818,1986,2.1%,3.1%,3.4%,2.0%,3.1%,3.4%,2.0%,3.1%,3.4%
Tower Hamlets London Boro,E09000030,454,7776,41096,454,7776,41096,454,7899,41096,0.3%,5.3%,27.9%,0.3%,5.3%,27.9%,0.3%,5.4%,27.9%
Trafford District (B),E08000009,738,3842,4162,878,3837,4028,881,3838,4028,0.6%,3.3%,3.6%,0.8%,3.3%,3.5%,0.8%,3.3%,3.5%
Tunbridge Wells District (B),E07000116,1761,2082,2082,1887,2214,2214,1893,2220,2220,2.7%,3.2%,3.2%,2.9%,3.4%,3.4%,2.9%,3.4%,3.4%
Uttlesford District,E07000077,1064,1182,1186,1067,1184,1188,1076,1194,1196,1.8%,2.1%,2.1%,1.9%,2.1%,2.1%,1.9%,2.1%,2.1%
Vale of White Horse District,E07000180,2435,3534,3534,2755,3977,3977,2757,3978,3978,3.3%,4.8%,4.8%,3.7%,5.4%,5.4%,3.8%,5.4%,5.4%
Wakefield District (B),E08000036,3459,7316,7885,3574,7477,8046,3698,8171,8736,1.9%,3.9%,4.3%,1.9%,4.0%,4.3%,2.0%,4.4%,4.7%
Walsall District (B),E08000030,1843,2605,2605,2690,3491,3491,2690,3490,3490,1.4%,2.0%,2.0%,2.1%,2.7%,2.7%,2.1%,2.7%,2.7%
Waltham Forest London Boro,E09000031,3445,5571,5582,3445,5571,5582,3437,5571,5582,2.9%,4.7%,4.7%,2.9%,4.7%,4.7%,2.9%,4.7%,4.7%
Wandsworth London Boro,E09000032,1758,6621,40317,1758,6605,40301,1750,6605,40301,1.1%,4.2%,25.5%,1.1%,4.2%,25.5%,1.1%,4.2%,25.5%
Warrington (B),E06000007,6066,17489,17561,5962,17360,17432,6209,18405,18475,5.5%,16.0%,16.1%,5.5%,15.9%,15.9%,5.7%,16.8%,16.9%
Warwick District,E07000222,2446,4191,4191,2446,4191,4191,2447,4191,4191,3.0%,5.2%,5.2%,3.0%,5.2%,5.2%,3.0%,5.2%,5.2%
Watford District (B),E07000103,248,272,272,359,417,434,360,417,434,0.6%,0.6%,0.6%,0.8%,1.0%,1.0%,0.8%,1.0%,1.0%
Waverley District (B),E07000216,2175,3087,3087,2272,3228,3228,2273,3228,3228,2.9%,4.2%,4.2%,3.1%,4.4%,4.4%,3.1%,4.4%,4.4%
Wealden District,E07000065,1248,3453,3453,1248,3453,3453,1256,3596,3596,1.2%,3.4%,3.4%,1.2%,3.4%,3.4%,1.2%,3.5%,3.5%
Wellingborough District (B),E07000156,364,620,620,405,998,998,407,998,998,0.9%,1.5%,1.5%,0.9%,2.3%,2.3%,1.0%,2.3%,2.3%
Welwyn Hatfield District (B),E07000241,401,463,478,442,477,492,447,477,492,0.7%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%
West Berkshire,E06000037,2151,5487,5691,2204,5647,5853,2226,5733,5956,2.4%,6.0%,6.2%,2.4%,6.2%,6.4%,2.4%,6.3%,6.5%
West Devon District (B),E07000047,3019,3205,3231,3014,3195,3195,3052,3233,3233,6.1%,6.5%,6.6%,6.1%,6.5%,6.5%,6.2%,6.6%,6.6%
West Lancashire District (B),E07000127,593,1988,4406,558,2030,4449,599,2051,4449,0.9%,2.9%,6.5%,0.8%,3.0%,6.6%,0.9%,3.0%,6.6%
West Lindsey District,E07000142,3653,9100,10781,3723,9549,11231,3729,9560,11250,5.6%,14.0%,16.5%,5.7%,14.6%,17.2%,5.7%,14.7%,17.3%
West Oxfordshire District,E07000181,2041,3363,3385,2042,3363,3385,2042,3364,3386,3.0%,5.0%,5.0%,3.0%,5.0%,5.0%,3.0%,5.0%,5.0%
West Suffolk District,E07000245,2136,3041,3071,2520,4116,4156,2623,4245,4285,1.9%,2.7%,2.8%,2.3%,3.7%,3.7%,2.4%,3.8%,3.8%
Wigan District (B),E08000010,3251,6956,7549,3963,6777,7295,3974,6830,7543,2.0%,4.2%,4.6%,2.4%,4.1%,4.4%,2.4%,4.2%,4.6%
Wiltshire,E06000054,7243,11187,11254,6678,10596,10752,6764,10710,10869,2.4%,3.6%,3.7%,2.2%,3.4%,3.5%,2.2%,3.5%,3.5%
Winchester District (B),E07000094,1521,1538,1538,2207,2299,2299,2462,2556,2556,2.0%,2.0%,2.0%,2.8%,3.0%,3.0%,3.2%,3.3%,3.3%
Windsor and Maidenhead (B),E06000040,9066,19672,21404,9127,19958,21969,9131,19964,21981,11.2%,24.2%,26.3%,11.2%,24.6%,27.0%,11.2%,24.6%,27.1%
Wirral District (B),E08000015,571,1534,6731,487,1366,6604,508,1540,6780,0.3%,0.9%,3.9%,0.3%,0.8%,3.8%,0.3%,0.9%,3.9%
Woking District (B),E07000217,1234,3713,3829,1233,3712,3829,1235,3711,3829,2.4%,7.3%,7.5%,2.4%,7.3%,7.5%,2.4%,7.3%,7.5%
Wokingham (B),E06000041,1869,3648,3648,1872,3650,3650,1892,3697,3697,2.3%,4.6%,4.6%,2.3%,4.6%,4.6%,2.4%,4.6%,4.6%
Worcester District (B),E07000237,1333,1551,1567,1337,1555,1571,1336,1556,1574,2.6%,3.0%,3.0%,2.6%,3.0%,3.0%,2.6%,3.0%,3.0%
Worthing District (B),E07000229,550,3121,3121,550,3121,3121,550,3121,3121,1.0%,5.5%,5.5%,1.0%,5.5%,5.5%,1.0%,5.5%,5.5%
Wychavon District,E07000238,2851,3573,3645,2886,3751,3823,2897,3764,3836,3.5%,4.3%,4.4%,3.5%,4.5%,4.6%,3.5%,4.6%,4.6%
Wycombe District,E07000007,2244,3520,3615,2492,4684,4858,2491,4685,4858,2.5%,3.9%,4.0%,2.7%,5.1%,5.3%,2.7%,5.2%,5.3%
Wyre District (B),E07000128,1961,17178,33425,1475,16687,33515,1473,16678,33515,2.9%,25.1%,48.9%,2.2%,24.4%,49.1%,2.2%,24.4%,49.1%
Wyre Forest District,E07000239,1476,2273,2281,1476,2273,2281,1478,2274,2282,2.5%,3.9%,3.9%,2.5%,3.9%,3.9%,2.5%,3.9%,3.9%
York (B),E06000014,3334,7671,7678,3399,8193,8200,3345,8193,8200,3.1%,7.0%,7.0%,3.1%,7.5%,7.5%,3.1%,7.5%,7.5%
