FID,AreaServed,ID,COMPANY,Acronym,CoType,AreaType,WARNINGS,Shape__Area,Shape__Length
417,"Embassy Gardens Phase 1, Nine Elms, London",182,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,22467.9331741333,685.883562543377
418,"Emersons Green Gateway, South Gloucestershire",184,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,84887.5139350891,1330.49294959933
419,"Nightingale Quarter, Derby",107,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,71397.867401123,1141.75024963264
420,"Salhouse Road 3, Norwich",106,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,246269.283859253,2701.53170475097
421,"Sutton Road, Maidstone",108,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,473353.162887573,3824.07312836066
422,"Toddington Lane 910, Littlehampton",55,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,749590.242153168,5408.6252872555
423,"Church Lane, Cayton, Scarborough",109,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,19425.9881134033,713.405100923023
424,"Harbour Place, Havant",110,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,218550.688407898,2236.17095234476
425,"Monk Bridge, Whitehall Road, Leeds",111,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,15372.8508758545,688.82603237801
426,"Stoneham Lane, Eastleigh",112,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,23400.4676475525,853.054037543566
427,"Deer Park, Southampton",115,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,504165.591510773,3049.78087433532
428,"Market Place, South Cave",113,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,42634.532333374,941.515950952641
429,"Norwich Road, Acle",117,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,55777.8077850342,1159.35465126205
430,Shopwhykes Lakes,116,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,53663.4935112,1054.96523178165
431,"Stumpcross Lane, Pontefract",114,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,26829.3885345459,680.930963030214
432,"Windmill Views, Barnham",118,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,33128.5255241394,777.06097539534
